"","Gene.ID","Uniq_Name","KH2013","X","KYname","KHname","Description","name","ENSMUSG","ENSMUST","annotation_1","annotation_2","loc","SNR","variance","denoised_SNR","denoised_variance","gene_network_leiden","gene_network_n","leiden","gene_clusters_leiden","scores","logfoldchanges","pvals","pvals_adj"
"KY.Chr1.10","KY.Chr1.10","Tfdp1-KY.Chr1.10","KH.L60.12","Tfdp1-KY.Chr1.10","TFDP1","TFDP1/2/3","8:13339674:13377702:1 ENSMUSG00000038482.11 ENSMUST00000170909.1 protein_coding protein_coding Tfdp1 transcription factor Dp 1 [Source:MGI Symbol;Acc:MGI:101934]","Tfdp1","ENSMUSG00000038482.11","ENSMUST00000170909.1","protein_coding","protein_coding","8:13339674:13377702:1",0.720564340321439,1.018416,0.587127238081338,1.2145361,4,28,3,3,20.194159,2.122632,7.94050194392072e-76,1.10023056595851e-74
"KY.Chr1.1000","KY.Chr1.1000","Psmb6-KY.Chr1.1000","KH.C1.737","Psmb6-KY.Chr1.1000","PSMB6","PSMB6","11:70525386:70527649:1 ENSMUSG00000018286.6 ENSMUST00000018430.6 protein_coding protein_coding Psmb6 proteasome (prosome, macropain) subunit, beta type 6 [Source:MGI Symbol;Acc:MGI:104880]","Psmb6","ENSMUSG00000018286.6","ENSMUST00000018430.6","protein_coding","protein_coding","11:70525386:70527649:1",0.294924420535582,0.41179118,0.176079035038768,0.37139025,3,32,3,3,6.796819,1.9359312,1.84296550738508e-11,3.83853325423517e-11
"KY.Chr1.1003","KY.Chr1.1003","Wasl-KY.Chr1.1003","KH.C1.374","Wasl-KY.Chr1.1003","WAS","WASL","6:24613805:24665009:-1 ENSMUSG00000029684.14 ENSMUST00000031695.14 protein_coding protein_coding Wasl Wiskott-Aldrich syndrome-like (human) [Source:MGI Symbol;Acc:MGI:1920428]","Wasl","ENSMUSG00000029684.14","ENSMUST00000031695.14","protein_coding","protein_coding","6:24613805:24665009:-1",0.411807556381504,0.77520835,0.266262857421076,0.8360971,1,14,5,6,7.3066316,1.1420577,5.72812359049936e-13,1.28048702084584e-12
"KY.Chr1.1004","KY.Chr1.1004","Lrrc74a-KY.Chr1.1004","KH.C1.818","Lrrc74a-KY.Chr1.1004","LRRC74B","KH2013:KH.C1.818_C14ORF166B","12:86734383:86763795:1 ENSMUSG00000059114.8 ENSMUST00000095527.5 protein_coding protein_coding Lrrc74a leucine rich repeat containing 74A [Source:MGI Symbol;Acc:MGI:3646959]","Lrrc74a","ENSMUSG00000059114.8","ENSMUST00000095527.5","protein_coding","protein_coding","12:86734383:86763795:1",0.294686218798906,0.37759987,0.209982267447376,0.42263865,0,58,0,1,1.3663605,0.28600082,0.172199163862526,0.194598861567065
"KY.Chr1.1018","KY.Chr1.1018","Pigl-KY.Chr1.1018","KH.S432.4","Pigl-KY.Chr1.1018","PIGL","PIGL","11:62458460:62514417:1 ENSMUSG00000014245.8 ENSMUST00000014389.5 protein_coding protein_coding Pigl phosphatidylinositol glycan anchor biosynthesis, class L [Source:MGI Symbol;Acc:MGI:2681271]","Pigl","ENSMUSG00000014245.8","ENSMUST00000014389.5","protein_coding","protein_coding","11:62458460:62514417:1",0.296018186177738,0.5048421,0.208465433411324,0.53132933,2,27,5,11,5.2640395,1.0335985,1.75190601020866e-07,2.9731848938044e-07
"KY.Chr1.1019","KY.Chr1.1019","Tsc1-KY.Chr1.1019","KH.S432.5","Tsc1-KY.Chr1.1019","TSC1","TSC1","2:28641241:28688548:1 ENSMUSG00000026812.16 ENSMUST00000133565.7 protein_coding nonsense_mediated_decay Tsc1 TSC complex subunit 1 [Source:MGI Symbol;Acc:MGI:1929183]","Tsc1","ENSMUSG00000026812.16","ENSMUST00000133565.7","protein_coding","nonsense_mediated_decay","2:28641241:28688548:1",0.311341031469592,0.6061743,0.244737095286253,0.6286431,1,25,2,6,6.0396957,1.0442088,2.1959830667589e-09,4.1297818198192e-09
"KY.Chr1.1022","KY.Chr1.1022","Tmem67-KY.Chr1.1022","KH.C1.717","Tmem67-KY.Chr1.1022","TMEM67","TMEM67","4:12039645:12090020:-1 ENSMUSG00000049488.14 ENSMUST00000108293.2 protein_coding protein_coding Tmem67 transmembrane protein 67 [Source:MGI Symbol;Acc:MGI:1923928]","Tmem67","ENSMUSG00000049488.14","ENSMUST00000108293.2","protein_coding","protein_coding","4:12039645:12090020:-1",0.26871800085247,0.3815554,0.167997209320168,0.3864781,2,14,8,2,5.936744,1.4667737,3.9964870324424e-09,7.3967130383103e-09
"KY.Chr1.1024","KY.Chr1.1024","Ank3-KY.Chr1.1024","KH.C1.88","Ank3-KY.Chr1.1024","ANK3","ANK1/2/3","10:69534222:70015633:1 ENSMUSG00000069601.14 ENSMUST00000054167.14 protein_coding protein_coding Ank3 ankyrin 3, epithelial [Source:MGI Symbol;Acc:MGI:88026]","Ank3","ENSMUSG00000069601.14","ENSMUST00000054167.14","protein_coding","protein_coding","10:69534222:70015633:1",0.735766164726725,1.3475423,0.261040447265386,0.7013954,5,41,1,9,7.1584687,1.2552528,1.64042200271032e-12,3.58952084372506e-12
"KY.Chr1.1028","KY.Chr1.1028","Rnaseh2c-KY.Chr1.1028","KH.C1.649","Rnaseh2c-KY.Chr1.1028","RNASEH2C","KH2013:KH.C1.649","19:5601873:5603439:1 ENSMUSG00000024925.11 ENSMUST00000025864.10 protein_coding protein_coding Rnaseh2c ribonuclease H2, subunit C [Source:MGI Symbol;Acc:MGI:1915459]","Rnaseh2c","ENSMUSG00000024925.11","ENSMUST00000025864.10","protein_coding","protein_coding","19:5601873:5603439:1",0.247663186209485,0.21553929,0.169373732467707,0.2958696,0,31,0,1,1.7297653,0.4072437,0.0840279414302846,0.0976860667224938
"KY.Chr1.1029","KY.Chr1.1029","Deptor-KY.Chr1.1029","KH.C1.998","Deptor-KY.Chr1.1029","DEPTOR","DEPTOR","15:55133436:55254202:1 ENSMUSG00000022419.16 ENSMUST00000023056.7 protein_coding protein_coding Deptor DEP domain containing MTOR-interacting protein [Source:MGI Symbol;Acc:MGI:2146322]","Deptor","ENSMUSG00000022419.16","ENSMUST00000023056.7","protein_coding","protein_coding","15:55133436:55254202:1",0.330897811364292,0.4068193,0.252743273683543,0.57649124,5,21,4,2,3.9089947,0.6197737,0.000100443988019624,0.000144947855615256
